Driver,LapNumber,GapTime
NOR,0.6666666666666666,0.0
RUS,0.6666666666666666,2.154
PIA,0.6666666666666666,1.27
SAI,0.6666666666666666,2.693
LEC,0.6666666666666666,3.857
VER,0.6666666666666666,5.455
HAM,0.6666666666666666,3.624
GAS,0.6666666666666666,5.108
HUL,0.6666666666666666,4.525
LAW,0.6666666666666666,8.845
ALO,0.6666666666666666,5.986
ALB,0.6666666666666666,8.021
BOT,0.6666666666666666,6.756
STR,0.6666666666666666,7.192
MAG,0.6666666666666666,6.37
TSU,0.6666666666666666,9.394
OCO,0.6666666666666666,7.655
ZHO,0.6666666666666666,8.927
PER,0.6666666666666666,17.805
COL,0.6666666666666666,14.383
NOR,1.0,0.0
RUS,1.0,1.637
PIA,1.0,1.1360000000000001
SAI,1.0,2.715
LEC,1.0,4.226
VER,1.0,6.023
HAM,1.0,3.293
GAS,1.0,5.442
HUL,1.0,4.967
LAW,1.0,9.677
ALO,1.0,6.305
ALB,1.0,8.51
BOT,1.0,7.467
STR,1.0,7.808
MAG,1.0,6.897
TSU,1.0,10.605
OCO,1.0,8.196
ZHO,1.0,9.938
PER,1.0,18.346
COL,1.0,15.575
NOR,1.3333333333333333,0.0
RUS,1.3333333333333333,1.754
PIA,1.3333333333333333,1.313
SAI,1.3333333333333333,2.76
LEC,1.3333333333333333,4.58
VER,1.3333333333333333,6.663
HAM,1.3333333333333333,3.697
GAS,1.3333333333333333,6.282
HUL,1.3333333333333333,5.461
LAW,1.3333333333333333,11.212
ALO,1.3333333333333333,7.605
ALB,1.3333333333333333,9.818999999999999
BOT,1.3333333333333333,8.595
STR,1.3333333333333333,9.06
MAG,1.3333333333333333,8.253
TSU,1.3333333333333333,11.798
OCO,1.3333333333333333,9.455
ZHO,1.3333333333333333,10.629
PER,1.3333333333333333,18.884
COL,1.3333333333333333,16.484
NOR,1.6666666666666665,0.0
RUS,1.6666666666666665,1.921
PIA,1.6666666666666665,1.254
SAI,1.6666666666666665,2.958
LEC,1.6666666666666665,4.774
VER,1.6666666666666665,6.904
HAM,1.6666666666666665,3.8
GAS,1.6666666666666665,6.481
HUL,1.6666666666666665,5.471
LAW,1.6666666666666665,12.057
ALO,1.6666666666666665,8.319
ALB,1.6666666666666665,10.586
BOT,1.6666666666666665,9.06
STR,1.6666666666666665,9.646
MAG,1.6666666666666665,8.51
TSU,1.6666666666666665,12.636
OCO,1.6666666666666665,10.198
ZHO,1.6666666666666665,11.014
PER,1.6666666666666665,18.867
COL,1.6666666666666665,16.797
NOR,2.0,0.0
RUS,2.0,1.762
PIA,2.0,1.126
SAI,2.0,2.957
LEC,2.0,4.917
VER,2.0,7.4030000000000005
HAM,2.0,3.7560000000000002
GAS,2.0,6.786
HUL,2.0,6.098
LAW,2.0,12.708
ALO,2.0,8.724
ALB,2.0,11.28
BOT,2.0,9.893
STR,2.0,10.39
MAG,2.0,9.432
TSU,2.0,13.485
OCO,2.0,10.969
ZHO,2.0,11.833
PER,2.0,19.014
COL,2.0,17.432
NOR,2.3333333333333335,0.0
RUS,2.3333333333333335,1.8279999999999998
PIA,2.3333333333333335,1.16
SAI,2.3333333333333335,2.914
LEC,2.3333333333333335,4.804
VER,2.3333333333333335,7.338
HAM,2.3333333333333335,3.498
GAS,2.3333333333333335,6.855
HUL,2.3333333333333335,6.046
LAW,2.3333333333333335,13.299
ALO,2.3333333333333335,9.147
ALB,2.3333333333333335,11.652
BOT,2.3333333333333335,10.306
STR,2.3333333333333335,10.943
MAG,2.3333333333333335,9.887
TSU,2.3333333333333335,14.049
OCO,2.3333333333333335,11.389
ZHO,2.3333333333333335,12.426
PER,2.3333333333333335,18.938
COL,2.3333333333333335,17.715
NOR,2.6666666666666665,0.0
RUS,2.6666666666666665,2.011
PIA,2.6666666666666665,1.282
SAI,2.6666666666666665,3.124
LEC,2.6666666666666665,5.145
VER,2.6666666666666665,7.975
HAM,2.6666666666666665,4.087
GAS,2.6666666666666665,7.257
HUL,2.6666666666666665,6.377
LAW,2.6666666666666665,14.08
ALO,2.6666666666666665,9.689
ALB,2.6666666666666665,12.577
BOT,2.6666666666666665,11.075
STR,2.6666666666666665,11.822
MAG,2.6666666666666665,10.321
TSU,2.6666666666666665,14.777
OCO,2.6666666666666665,12.322
ZHO,2.6666666666666665,13.032
PER,2.6666666666666665,19.314
COL,2.6666666666666665,17.929
NOR,3.0,0.0
RUS,3.0,1.554
PIA,3.0,1.005
SAI,3.0,2.81
LEC,3.0,4.989
VER,3.0,8.038
HAM,3.0,3.838
GAS,3.0,7.249
HUL,3.0,6.518
LAW,3.0,14.387
ALO,3.0,10.076
ALB,3.0,13.099
BOT,3.0,11.467
STR,3.0,12.163
MAG,3.0,10.983
TSU,3.0,14.929
OCO,3.0,12.72
ZHO,3.0,13.67
PER,3.0,19.188
COL,3.0,18.022
NOR,3.3333333333333335,0.0
RUS,3.3333333333333335,1.646
PIA,3.3333333333333335,1.204
SAI,3.3333333333333335,2.685
LEC,3.3333333333333335,5.031
VER,3.3333333333333335,7.939
HAM,3.3333333333333335,3.602
GAS,3.3333333333333335,7.44
HUL,3.3333333333333335,6.624
LAW,3.3333333333333335,14.795
ALO,3.3333333333333335,10.549
ALB,3.3333333333333335,13.539
BOT,3.3333333333333335,11.734
STR,3.3333333333333335,12.359
MAG,3.3333333333333335,11.014
TSU,3.3333333333333335,15.527
OCO,3.3333333333333335,12.996
ZHO,3.3333333333333335,14.23
PER,3.3333333333333335,19.265
COL,3.3333333333333335,18.233
NOR,3.6666666666666665,0.0
RUS,3.6666666666666665,1.7890000000000001
PIA,3.6666666666666665,1.311
SAI,3.6666666666666665,2.851
LEC,3.6666666666666665,5.59
VER,3.6666666666666665,8.692
HAM,3.6666666666666665,3.976
GAS,3.6666666666666665,7.77
HUL,3.6666666666666665,6.753
LAW,3.6666666666666665,15.542
ALO,3.6666666666666665,10.887
ALB,3.6666666666666665,14.099
BOT,3.6666666666666665,12.196
STR,3.6666666666666665,12.931000000000001
MAG,3.6666666666666665,11.319
TSU,3.6666666666666665,16.043
OCO,3.6666666666666665,13.535
ZHO,3.6666666666666665,14.568999999999999
PER,3.6666666666666665,19.525
COL,3.6666666666666665,18.599
NOR,4.0,0.0
RUS,4.0,1.197
PIA,4.0,0.786
SAI,4.0,2.22
LEC,4.0,5.1
VER,4.0,8.155
HAM,4.0,3.404
GAS,4.0,7.427
HUL,4.0,6.378
LAW,4.0,15.583
ALO,4.0,10.778
ALB,4.0,14.347
BOT,4.0,12.252
STR,4.0,12.935
MAG,4.0,11.350999999999999
TSU,4.0,16.05
OCO,4.0,13.78
ZHO,4.0,14.968
PER,4.0,19.124
COL,4.0,18.375
NOR,4.333333333333333,0.0
RUS,4.333333333333333,1.268
PIA,4.333333333333333,0.875
SAI,4.333333333333333,2.205
LEC,4.333333333333333,5.12
VER,4.333333333333333,8.15
HAM,4.333333333333333,3.278
GAS,4.333333333333333,7.531
HUL,4.333333333333333,6.428
LAW,4.333333333333333,15.924
ALO,4.333333333333333,11.717
ALB,4.333333333333333,14.73
BOT,4.333333333333333,12.492
STR,4.333333333333333,13.107
MAG,4.333333333333333,11.052
TSU,4.333333333333333,16.703
OCO,4.333333333333333,13.979
ZHO,4.333333333333333,15.383
PER,4.333333333333333,19.413
COL,4.333333333333333,18.576999999999998
NOR,4.666666666666667,0.0
RUS,4.666666666666667,1.729
PIA,4.666666666666667,1.146
SAI,4.666666666666667,2.5869999999999997
LEC,4.666666666666667,5.361
VER,4.666666666666667,8.654
HAM,4.666666666666667,3.5300000000000002
GAS,4.666666666666667,7.872
HUL,4.666666666666667,6.676
LAW,4.666666666666667,16.681
ALO,4.666666666666667,11.988
ALB,4.666666666666667,15.251
BOT,4.666666666666667,12.877
STR,4.666666666666667,13.557
MAG,4.666666666666667,11.281
TSU,4.666666666666667,17.243
OCO,4.666666666666667,14.45
ZHO,4.666666666666667,15.909
PER,4.666666666666667,19.829
COL,4.666666666666667,18.901
NOR,5.0,0.0
RUS,5.0,1.248
PIA,5.0,0.84
SAI,5.0,2.105
LEC,5.0,4.912
VER,5.0,8.328
HAM,5.0,3.049
GAS,5.0,7.775
HUL,5.0,6.689
LAW,5.0,16.893
ALO,5.0,11.754
ALB,5.0,15.342
BOT,5.0,12.975999999999999
STR,5.0,13.755
MAG,5.0,11.22
TSU,5.0,17.272
OCO,5.0,14.612
ZHO,5.0,16.3
PER,5.0,19.747
COL,5.0,18.625
NOR,5.333333333333333,0.0
RUS,5.333333333333333,1.237
PIA,5.333333333333333,0.783
SAI,5.333333333333333,1.964
LEC,5.333333333333333,4.807
VER,5.333333333333333,8.364
HAM,5.333333333333333,2.822
GAS,5.333333333333333,7.708
HUL,5.333333333333333,6.739
LAW,5.333333333333333,17.353
ALO,5.333333333333333,11.987
ALB,5.333333333333333,15.743
BOT,5.333333333333333,13.16
STR,5.333333333333333,13.864
MAG,5.333333333333333,11.394
TSU,5.333333333333333,18.023
OCO,5.333333333333333,14.801
ZHO,5.333333333333333,16.706
PER,5.333333333333333,20.007
COL,5.333333333333333,19.067
NOR,5.666666666666667,0.0
RUS,5.666666666666667,1.671
PIA,5.666666666666667,1.047
SAI,5.666666666666667,2.5060000000000002
LEC,5.666666666666667,5.065
VER,5.666666666666667,8.904
HAM,5.666666666666667,3.3609999999999998
GAS,5.666666666666667,8.124
HUL,5.666666666666667,6.846
LAW,5.666666666666667,18.251
ALO,5.666666666666667,12.477
ALB,5.666666666666667,16.308
BOT,5.666666666666667,13.512
STR,5.666666666666667,14.473
MAG,5.666666666666667,11.607
TSU,5.666666666666667,18.705
OCO,5.666666666666667,15.391
ZHO,5.666666666666667,17.342
PER,5.666666666666667,20.713
COL,5.666666666666667,19.618
NOR,6.0,0.0
RUS,6.0,1.2690000000000001
PIA,6.0,0.75
SAI,6.0,2.165
LEC,6.0,4.657
VER,6.0,8.652
HAM,6.0,2.9370000000000003
GAS,6.0,7.856
HUL,6.0,6.496
LAW,6.0,18.401
ALO,6.0,12.386
ALB,6.0,16.532
BOT,6.0,13.581
STR,6.0,14.559
MAG,6.0,11.542
TSU,6.0,18.921
OCO,6.0,15.625
ZHO,6.0,18.108
PER,6.0,20.629
COL,6.0,19.69
NOR,6.333333333333333,0.0
RUS,6.333333333333333,1.215
PIA,6.333333333333333,0.738
SAI,6.333333333333333,1.8900000000000001
LEC,6.333333333333333,4.524
VER,6.333333333333333,8.465
HAM,6.333333333333333,2.641
GAS,6.333333333333333,7.8469999999999995
HUL,6.333333333333333,6.459
LAW,6.333333333333333,18.315
ALO,6.333333333333333,12.171
ALB,6.333333333333333,16.56
BOT,6.333333333333333,13.597
STR,6.333333333333333,14.467
MAG,6.333333333333333,11.485
TSU,6.333333333333333,19.613
OCO,6.333333333333333,15.709
ZHO,6.333333333333333,19.465
PER,6.333333333333333,20.675
COL,6.333333333333333,20.159
NOR,6.666666666666667,0.0
RUS,6.666666666666667,1.577
PIA,6.666666666666667,0.965
SAI,6.666666666666667,2.346
LEC,6.666666666666667,4.6530000000000005
VER,6.666666666666667,8.805
HAM,6.666666666666667,3.091
GAS,6.666666666666667,8.124
HUL,6.666666666666667,6.59
LAW,6.666666666666667,18.793
ALO,6.666666666666667,12.542
ALB,6.666666666666667,16.944
BOT,6.666666666666667,13.79
STR,6.666666666666667,14.744
MAG,6.666666666666667,11.538
TSU,6.666666666666667,20.245
OCO,6.666666666666667,16.05
ZHO,6.666666666666667,21.282
PER,6.666666666666667,21.94
COL,6.666666666666667,21.663
NOR,7.0,0.0
RUS,7.0,1.272
PIA,7.0,0.771
SAI,7.0,2.166
LEC,7.0,4.4719999999999995
VER,7.0,8.673
HAM,7.0,2.935
GAS,7.0,8.168
HUL,7.0,6.73
LAW,7.0,18.953
ALO,7.0,12.596
ALB,7.0,17.26
BOT,7.0,13.977
STR,7.0,14.859
MAG,7.0,11.708
TSU,7.0,20.432
OCO,7.0,16.212
ZHO,7.0,22.43
PER,7.0,23.053
COL,7.0,22.649
NOR,7.333333333333333,0.0
RUS,7.333333333333333,1.267
PIA,7.333333333333333,0.854
SAI,7.333333333333333,1.96
LEC,7.333333333333333,4.558
VER,7.333333333333333,8.506
HAM,7.333333333333333,2.7800000000000002
GAS,7.333333333333333,9.364
HUL,7.333333333333333,6.832
LAW,7.333333333333333,19.542
ALO,7.333333333333333,12.584
ALB,7.333333333333333,17.911
BOT,7.333333333333333,14.269
STR,7.333333333333333,15.094
MAG,7.333333333333333,11.81
TSU,7.333333333333333,20.984
OCO,7.333333333333333,16.76
ZHO,7.333333333333333,24.489
PER,7.333333333333333,23.602
COL,7.333333333333333,22.961
NOR,7.666666666666667,0.0
RUS,7.666666666666667,1.654
PIA,7.666666666666667,1.027
SAI,7.666666666666667,2.298
LEC,7.666666666666667,4.704
VER,7.666666666666667,8.525
HAM,7.666666666666667,3.223
GAS,7.666666666666667,9.679
HUL,7.666666666666667,6.812
LAW,7.666666666666667,19.871
ALO,7.666666666666667,12.752
ALB,7.666666666666667,18.138
BOT,7.666666666666667,14.332
STR,7.666666666666667,15.427
MAG,7.666666666666667,11.703
TSU,7.666666666666667,21.133
OCO,7.666666666666667,17.054
ZHO,7.666666666666667,25.538
PER,7.666666666666667,24.04
COL,7.666666666666667,23.307
NOR,8.0,0.0
RUS,8.0,1.212
PIA,8.0,0.838
SAI,8.0,2.194
LEC,8.0,4.471
VER,8.0,8.369
HAM,8.0,3.296
GAS,8.0,9.737
HUL,8.0,6.923
LAW,8.0,20.002
ALO,8.0,12.579
ALB,8.0,18.363
BOT,8.0,14.595
STR,8.0,15.578
MAG,8.0,11.596
TSU,8.0,21.322
OCO,8.0,17.234
ZHO,8.0,26.833
PER,8.0,24.169
COL,8.0,23.513
NOR,8.333333333333334,0.0
RUS,8.333333333333334,1.336
PIA,8.333333333333334,0.937
SAI,8.333333333333334,2.096
LEC,8.333333333333334,4.351
VER,8.333333333333334,8.607
HAM,8.333333333333334,3.37
GAS,8.333333333333334,10.141
HUL,8.333333333333334,7.16
LAW,8.333333333333334,20.519
ALO,8.333333333333334,12.679
ALB,8.333333333333334,19.048
BOT,8.333333333333334,14.86
STR,8.333333333333334,15.697
MAG,8.333333333333334,11.767
TSU,8.333333333333334,21.797
OCO,8.333333333333334,17.761
ZHO,8.333333333333334,28.136
PER,8.333333333333334,24.749
COL,8.333333333333334,23.962
NOR,8.666666666666666,0.0
RUS,8.666666666666666,1.558
PIA,8.666666666666666,0.887
SAI,8.666666666666666,2.354
LEC,8.666666666666666,4.462
VER,8.666666666666666,9.039
HAM,8.666666666666666,3.601
GAS,8.666666666666666,10.486
HUL,8.666666666666666,7.281
LAW,8.666666666666666,20.867
ALO,8.666666666666666,12.821
ALB,8.666666666666666,19.386
BOT,8.666666666666666,14.921
STR,8.666666666666666,15.957
MAG,8.666666666666666,11.852
TSU,8.666666666666666,22.03
OCO,8.666666666666666,17.979
ZHO,8.666666666666666,29.035
PER,8.666666666666666,25.057
COL,8.666666666666666,24.086
NOR,9.0,0.0
RUS,9.0,1.35
PIA,9.0,0.758
SAI,9.0,2.15
LEC,9.0,4.083
VER,9.0,8.9
HAM,9.0,3.328
GAS,9.0,10.76
HUL,9.0,7.3629999999999995
LAW,9.0,21.043
ALO,9.0,12.884
ALB,9.0,19.836
BOT,9.0,15.165
STR,9.0,16.074
MAG,9.0,11.957
TSU,9.0,22.233
OCO,9.0,18.246
ZHO,9.0,30.545
PER,9.0,25.276
COL,9.0,24.188
NOR,9.333333333333334,0.0
RUS,9.333333333333334,1.3559999999999999
PIA,9.333333333333334,0.74
SAI,9.333333333333334,2.038
LEC,9.333333333333334,3.907
VER,9.333333333333334,9.044
HAM,9.333333333333334,3.15
GAS,9.333333333333334,10.943999999999999
HUL,9.333333333333334,7.4
LAW,9.333333333333334,21.575
ALO,9.333333333333334,12.887
ALB,9.333333333333334,20.213
BOT,9.333333333333334,15.207
STR,9.333333333333334,16.153
MAG,9.333333333333334,12.126
TSU,9.333333333333334,22.693
OCO,9.333333333333334,18.758
ZHO,9.333333333333334,31.888
PER,9.333333333333334,25.685
COL,9.333333333333334,24.471
NOR,9.666666666666666,0.0
RUS,9.666666666666666,1.7890000000000001
PIA,9.666666666666666,1.045
SAI,9.666666666666666,2.575
LEC,9.666666666666666,4.482
VER,9.666666666666666,9.323
HAM,9.666666666666666,3.809
GAS,9.666666666666666,11.164
HUL,9.666666666666666,7.578
LAW,9.666666666666666,22.258
ALO,9.666666666666666,13.447
ALB,9.666666666666666,20.579
BOT,9.666666666666666,15.364
STR,9.666666666666666,16.612
MAG,9.666666666666666,12.477
TSU,9.666666666666666,23.052
OCO,9.666666666666666,19.369
ZHO,9.666666666666666,33.037
PER,9.666666666666666,26.036
COL,9.666666666666666,24.837
NOR,10.0,0.0
RUS,10.0,1.6400000000000001
PIA,10.0,0.845
SAI,10.0,2.565
LEC,10.0,4.317
